StrainNumber1	StrainNumber2	ANIb	Formula 2: DDH
0422	3375	98.17	86.3
0422	502	97.71	81.5
0422	ATCC_13253	80.01	23.5
0422	ATCC_33958	91.14	44.6
0422	B2D	97.38	78.8
0422	BM10	91.17	44.5
0422	C1558	89.29	38.7
0422	CIP108653	91.73	46.4
0422	CIP108654	97.89	84.4
0422	CIP111046-9716	97.39	78.9
0422	CIP111047-9716	91.73	46.6
0422	CIP111048-9716	80.07	23.6
0422	CIP111067	98.44	86.8
0422	CIP60-58	100	100
0422	CIP80-33	79.99	23.7
0422	CSID_3000515919	80.1	23.7
0422	CSID_3000516074	98.09	85.8
0422	CSID_3000516135	89.16	38.4
0422	CSID_3000516359	80.07	23.6
0422	CSID_3000516464	91.64	46.3
0422	CSID_3000516465	80.07	23.6
0422	CSID_3000516535	80.04	23.6
0422	CSID_3000516589	91.3	44.5
0422	CSID_3000516810	98.42	87.2
0422	CSID_3000516977	80.01	23.5
0422	CSID_3000516978	97.31	79
0422	CSID_3000516998	91.59	46.7
0422	CSID_3000517066	97.39	79
0422	CSID_3000517120	91.29	46.1
0422	CSID_3015183678	98.26	86.4
0422	CSID_3015183679	98.08	84.9
0422	CSID_3015183680	97.9	84.2
0422	CSID_3015183685	91.29	44.5
0422	CSID_3015183686	97.55	83.4
0422	DSM_14571	91.63	46.3
0422	DSM_23781	98.14	84.6
0422	E6809	97.8	83.8
0422	EM-CHUV	91.9	47.2
0422	Endophthalmitis	97.31	78.2
0422	F3201	97.32	78.8
0422	F3543	98.12	86.1
0422	F8124	90.03	40.5
0422	FMS-007	97.78	83.4
0422	G0146	91.23	44.6
0422	G0153	91.28	44.5
0422	G4070	89.8	40.2
0422	G4071	91.72	46.6
0422	G4074	91.74	46.6
0422	G4075	91.22	44.6
0422	G4076	80.01	23.5
0422	G4120	80.08	23.6
0422	G4121	91.69	46.6
0422	G4122	89.37	38.5
0422	G4123	89.36	38.9
0422	JM-87	97.31	78.2
0422	KC1913	80.01	23.5
0422	NUH4	97.81	83.7
0422	NUH6	97.63	83.2
0422	NUHP1	97.8	83.7
0422	PW2809	99.55	97.6
0422	R26	98.13	84.7
0422	V0378064	97.77	84
3375	0422	98.15	86.3
3375	502	97.57	81.7
3375	ATCC_13253	79.97	23.6
3375	ATCC_33958	91.36	45
3375	B2D	97.54	79.8
3375	BM10	91.13	44.6
3375	C1558	89.18	38.5
3375	CIP108653	91.74	46.4
3375	CIP108654	98.18	85.2
3375	CIP111046-9716	97.36	78.8
3375	CIP111047-9716	91.79	46.7
3375	CIP111048-9716	79.93	23.6
3375	CIP111067	98.28	86.3
3375	CIP60-58	98.17	86.3
3375	CIP80-33	80.02	23.9
3375	CSID_3000515919	79.94	23.7
3375	CSID_3000516074	99	92
3375	CSID_3000516135	89.14	38.4
3375	CSID_3000516359	79.91	23.6
3375	CSID_3000516464	91.5	46
3375	CSID_3000516465	79.96	23.6
3375	CSID_3000516535	79.93	23.6
3375	CSID_3000516589	91.2	44.3
3375	CSID_3000516810	98.35	86.7
3375	CSID_3000516977	79.99	23.6
3375	CSID_3000516978	97.31	78.7
3375	CSID_3000516998	91.45	46
3375	CSID_3000517066	97.33	78.5
3375	CSID_3000517120	91.61	46.6
3375	CSID_3015183678	98.25	86.1
3375	CSID_3015183679	97.99	84.3
3375	CSID_3015183680	97.82	83.9
3375	CSID_3015183685	91.17	44.4
3375	CSID_3015183686	97.98	83.7
3375	DSM_14571	91.68	46.3
3375	DSM_23781	98.02	84.1
3375	E6809	98.86	91.3
3375	EM-CHUV	91.67	46.3
3375	Endophthalmitis	97.32	77.7
3375	F3201	97.16	78.7
3375	F3543	99.8	99.8
3375	F8124	89.74	40.2
3375	FMS-007	97.87	84.3
3375	G0146	91.04	44
3375	G0153	91.15	44.2
3375	G4070	89.73	40.1
3375	G4071	91.45	45.8
3375	G4074	91.53	45.9
3375	G4075	91.07	44.4
3375	G4076	79.98	23.6
3375	G4120	79.96	23.6
3375	G4121	91.44	46
3375	G4122	89.3	38.6
3375	G4123	89.3	38.8
3375	JM-87	97.33	79.5
3375	KC1913	79.98	23.6
3375	NUH4	97.7	82.6
3375	NUH6	97.66	81.1
3375	NUHP1	97.98	84.1
3375	PW2809	98.04	85.2
3375	R26	98.02	84.1
3375	V0378064	98.09	84.6
502	0422	97.69	81.5
502	3375	97.61	81.7
502	ATCC_13253	79.9	23.6
502	ATCC_33958	91.33	44.7
502	B2D	98.2	85
502	BM10	91.11	44.3
502	C1558	89.36	38.5
502	CIP108653	91.65	46.1
502	CIP108654	97.7	81.1
502	CIP111046-9716	98	83.4
502	CIP111047-9716	91.64	46.1
502	CIP111048-9716	79.87	23.5
502	CIP111067	97.83	82.8
502	CIP60-58	97.68	81.5
502	CIP80-33	79.86	23.5
502	CSID_3000515919	80.01	23.7
502	CSID_3000516074	97.58	81.1
502	CSID_3000516135	89.34	38.6
502	CSID_3000516359	79.86	23.5
502	CSID_3000516464	91.61	45.9
502	CSID_3000516465	79.91	23.5
502	CSID_3000516535	79.89	23.6
502	CSID_3000516589	91.24	44.6
502	CSID_3000516810	97.66	81.7
502	CSID_3000516977	79.92	23.5
502	CSID_3000516978	98.04	83.8
502	CSID_3000516998	91.62	46.2
502	CSID_3000517066	98.17	84.7
502	CSID_3000517120	91.56	46
502	CSID_3015183678	97.71	82.1
502	CSID_3015183679	97.85	82.5
502	CSID_3015183680	97.61	81.7
502	CSID_3015183685	91.31	44.7
502	CSID_3015183686	97.46	80.9
502	DSM_14571	91.59	45.9
502	DSM_23781	97.53	81
502	E6809	97.36	79.9
502	EM-CHUV	91.64	46.5
502	Endophthalmitis	98.06	83.1
502	F3201	98.03	83.9
502	F3543	97.52	81.2
502	F8124	89.98	40.6
502	FMS-007	97.63	82
502	G0146	91.32	44.7
502	G0153	91.32	44.7
502	G4070	89.86	40.3
502	G4071	91.64	46.1
502	G4074	91.65	46.1
502	G4075	91.28	44.8
502	G4076	79.9	23.6
502	G4120	79.88	23.5
502	G4121	91.6	46.1
502	G4122	89.43	38.7
502	G4123	89.42	38.8
502	JM-87	98.17	84.5
502	KC1913	79.9	23.6
502	NUH4	97.61	81.2
502	NUH6	97.47	82
502	NUHP1	97.58	81.3
502	PW2809	97.61	81.5
502	R26	97.53	81
502	V0378064	97.71	81.1
ATCC_13253	0422	79.96	23.5
ATCC_13253	3375	80.02	23.6
ATCC_13253	502	79.89	23.6
ATCC_13253	ATCC_33958	79.82	23.6
ATCC_13253	B2D	79.92	23.7
ATCC_13253	BM10	79.87	23.7
ATCC_13253	C1558	79.87	23.4
ATCC_13253	CIP108653	79.84	23.7
ATCC_13253	CIP108654	79.92	23.7
ATCC_13253	CIP111046-9716	79.81	23.6
ATCC_13253	CIP111047-9716	79.84	23.6
ATCC_13253	CIP111048-9716	98.36	86
ATCC_13253	CIP111067	79.94	23.6
ATCC_13253	CIP60-58	79.96	23.5
ATCC_13253	CIP80-33	98.44	86.8
ATCC_13253	CSID_3000515919	98.43	86.8
ATCC_13253	CSID_3000516074	79.94	23.6
ATCC_13253	CSID_3000516135	79.86	23.4
ATCC_13253	CSID_3000516359	98.39	86.4
ATCC_13253	CSID_3000516464	79.9	23.6
ATCC_13253	CSID_3000516465	98.38	86
ATCC_13253	CSID_3000516535	98.44	86.6
ATCC_13253	CSID_3000516589	79.95	23.6
ATCC_13253	CSID_3000516810	79.94	23.6
ATCC_13253	CSID_3000516977	99.22	93.2
ATCC_13253	CSID_3000516978	79.85	23.7
ATCC_13253	CSID_3000516998	79.88	23.5
ATCC_13253	CSID_3000517066	79.86	23.6
ATCC_13253	CSID_3000517120	79.87	23.7
ATCC_13253	CSID_3015183678	79.95	23.5
ATCC_13253	CSID_3015183679	79.84	23.6
ATCC_13253	CSID_3015183680	79.88	23.6
ATCC_13253	CSID_3015183685	79.9	23.6
ATCC_13253	CSID_3015183686	79.98	23.6
ATCC_13253	DSM_14571	79.87	23.7
ATCC_13253	DSM_23781	79.93	23.6
ATCC_13253	E6809	79.97	23.6
ATCC_13253	EM-CHUV	79.96	23.7
ATCC_13253	Endophthalmitis	79.83	23.6
ATCC_13253	F3201	80.02	23.9
ATCC_13253	F3543	80.07	23.7
ATCC_13253	F8124	79.86	23.4
ATCC_13253	FMS-007	80.15	23.9
ATCC_13253	G0146	79.79	23.5
ATCC_13253	G0153	79.9	23.6
ATCC_13253	G4070	79.86	23.4
ATCC_13253	G4071	79.85	23.6
ATCC_13253	G4074	79.84	23.6
ATCC_13253	G4075	79.82	23.6
ATCC_13253	G4076	100	99.5
ATCC_13253	G4120	98.38	85.9
ATCC_13253	G4121	79.84	23.6
ATCC_13253	G4122	79.9	23.4
ATCC_13253	G4123	79.97	23.4
ATCC_13253	JM-87	80.1	23.9
ATCC_13253	KC1913	99.98	99.9
ATCC_13253	NUH4	79.88	23.7
ATCC_13253	NUH6	79.88	23.6
ATCC_13253	NUHP1	79.88	23.7
ATCC_13253	PW2809	79.96	23.7
ATCC_13253	R26	79.9	23.5
ATCC_13253	V0378064	79.84	23.7
ATCC_33958	0422	90.74	44.6
ATCC_33958	3375	90.92	45
ATCC_33958	502	90.99	44.7
ATCC_33958	ATCC_13253	79.69	23.6
ATCC_33958	B2D	91.05	44.3
ATCC_33958	BM10	96.14	72.1
ATCC_33958	C1558	90.5	43.3
ATCC_33958	CIP108653	92.64	51.4
ATCC_33958	CIP108654	90.96	44.7
ATCC_33958	CIP111046-9716	90.81	44.4
ATCC_33958	CIP111047-9716	92.96	52.5
ATCC_33958	CIP111048-9716	79.64	23.6
ATCC_33958	CIP111067	91.19	44.8
ATCC_33958	CIP60-58	90.73	44.6
ATCC_33958	CIP80-33	79.45	23.6
ATCC_33958	CSID_3000515919	79.56	23.6
ATCC_33958	CSID_3000516074	90.83	44.4
ATCC_33958	CSID_3000516135	90.54	43.4
ATCC_33958	CSID_3000516359	79.79	23.9
ATCC_33958	CSID_3000516464	92.55	51.7
ATCC_33958	CSID_3000516465	79.66	23.6
